TID,DE
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Виконані завдання: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Квести пройдені: <NUM>
TID_TICKET_COMPENSATION_TITLE,ПОВІДОМЛЕННЯ ПРО ОНОВЛЕННЯ
TID_TICKET_COMPENSATION_INFO,"Ось, візьміть кілька дорогоцінних каменів для ваших квитків! Ми видалили квитки з гри, так що вони більше не потрібні."
TID_TICKET_COMPENSATION_CLAIM,ПРЕТЕНЗІЯ!
TID_BRAWL_PASS_OLD_BOXES_TITLE,ВІДКРИЙТЕ ЗАЛИШИЛИСЯ КОРОБКИ
TID_BRAWL_PASS_QUESTS_LABEL,КВЕСТИ
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,"Дістаньтеся до ТРОФЕЇВ, щоб розблокувати квести!"
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Квести тепер можна розблокувати з Трофейної дороги!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,"Вирушайте на Трофейну дорогу, щоб розблокувати Квести"
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,КУПИТИ ЯРУС
TID_QUESTS_TITLE,КВЕСТИ
TID_QUEST_DESC_1,ВИГРАТИ <КІЛЬКІСТЬ> БИТВ
TID_QUEST_DESC_2,ПОРАЗКА <КІЛЬКІСТЬ> ВОРОГІВ
TID_QUEST_DESC_3,НАНОСИТИ <СУМА> ОКУЛЯРИ ШКОДИ
TID_QUEST_DESC_4,ЗЦІЛЕННЯ <КІЛЬКІСТЬ> ОЧОК ЗДОРОВ'Я
TID_QUEST_DESC_5,ВИКОРИСТОВУЙТЕ \qPLAY ЩЕ РАЗ \ q <NUM> РАЗІВ
TID_QUEST_DESC_6,ГРАТИ <NUM> МАТЧІ В КОМАНДІ
TID_QUEST_DESC_1_LEVELED,ПОВНИЙ РІВЕНЬ
TID_QUEST_DESC_1_BIG_GAME,ВИГРАТИ <КІЛЬКІСТЬ> БИТВ
TID_QUEST_DESC_1_BIG_GAME_SINGLE,ВИГРАТИ БИТВУ <СУМА>
TID_QUEST_HERO_CONDITION,\nWITH <ГЕРОЙ>
TID_QUEST_MODE_CONDITION,\nIN <РЕЖИМ>
TID_QUEST_PLAYAGAIN_CONDITION,З ТОВАРИШЕМ ПО КОМАНДІ
TID_QUEST_NEW,НОВЕ
TID_QUEST_PREMIUM,BRAWL PASS ЕКСКЛЮЗИВ
TID_RANK_POPUP_QUESTS,КВЕСТИ
TID_RANK_POPUP_CLUB_FEATURE,Клуби
TID_BRAWL_PASS_POPUP_TITLE,ПРОХІД БІЙКИ
TID_BRAWL_PASS_POPUP_INFO,СЕЗОН <СЕЗОН>
TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON,ПОВЕРНЕМОСЯ ДО ПОТОЧНОГО СЕЗОНУ
TID_BRAWL_PASS_PREVIOUS_SEASON,ПОПЕРЕДНІЙ СЕЗОН
TID_BRAWL_PASS_PREVIOUS_SEASON_INFO,"НАТИСНІТЬ ТУТ, ЩОБ ОТРИМАТИ НАГОРОДИ!"
TID_BRAWL_PASS_UNLOCK_INFO,ПРЕМІАЛЬНІ НАГОРОДИ ЗАБЛОКОВАНІ!
TID_BRAWL_PASS_UNLOCK_LABEL,РОЗБЛОКУВАТИ
TID_BRAWLPASS_PURCHASE_ERROR_3,Цей сезон Brawl Pass вже куплений.
TID_BRAWLPASS_PURCHASE_ERROR_4,"На жаль, цей пропуск на Бійку більше недоступний!"
TID_BRAWLPASS_PURCHASE_ERROR_5,"Не можете придбати BRAWL PASS BUNDLE, ви вже заробили всі нагороди!"
TID_BRAWLPASS_PURCHASE_ERROR_6,Купівля Brawl Pass не допускається з негативним балансом дорогоцінних каменів
