TID,EN
string,string
TID_BATTLE_END_QUESTS_COMPLETED,Квестів виконано: <NUM>
TID_BATTLE_END_QUESTS_PROGRESSED,Квестів прогресовано: <NUM>
TID_TICKET_COMPENSATION_TITLE,Сповіщення оновлення
TID_TICKET_COMPENSATION_INFO,От вам кілька кристалів! Ми забрали квитки тому дали вам компенсацію в кристалах
TID_TICKET_COMPENSATION_CLAIM,ЗАБРАТИ
TID_BRAWL_PASS_OLD_BOXES_TITLE,ВІДКРИТИ РЕШТУ ЯЩИКІВ
TID_BRAWL_PASS_QUESTS_LABEL,КВЕСТ
TID_BRAWL_PASS_QUESTS_INFO_LOCKED,Досягни <TROPHIES> Трофеїв щоб відкрити Квести!
TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED,Квести відкриваються просуванням по Трофейній Дорозі!
TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER,Відкрий Трофейну Дорогу для відкритя Квестів
TID_BRAWL_PASS_BUY_PROGRESS_LABEL,КУПИТИ РІВЕНЬ
TID_QUESTS_TITLE,КВЕСТИ
TID_QUEST_DESC_1,ВИГРАЙ <AMOUNT> БИТВ
TID_QUEST_DESC_2,ПЕРЕМОЖИ <AMOUNT> ВОРОГІВ
TID_QUEST_DESC_3,ЗАВДАЙ <AMOUNT> ОЧІКВ ШКОДИ
TID_QUEST_DESC_4,ЗЦІЛИ <AMOUNT> ОЧКІВ ЖИТТЯ
TID_QUEST_DESC_5,ВИКОРИСТАЙ \qГРАТИ ЩЕРАЗ\q <NUM> РАЗІВ
TID_QUEST_DESC_6,ПОГРАЙ <NUM> ІГОР В КОМАНДІ
TID_QUEST_DESC_7_MODE_0,ТРИМАЙ <LIMIT> АБО БІЛЬШЕ ГЕМІВ <AMOUNT> СЕКУНД
TID_QUEST_DESC_7_MODE_2,НАНЕСИ <AMOUNT> ОЧКІВ ПОШКОДЖЕННЯ СЕЙФУ
TID_QUEST_DESC_7_MODE_3,ЗАКІНЧИ <AMOUNT> МАТЧІВ З <LIMIT> АБО БІЛЬШЕ ЗІРОК
TID_QUEST_DESC_7_MODE_5,ВІДДАЙ ПАС В БРАВЛ БОЛІ <AMOUNT> РАЗІВ
TID_QUEST_DESC_7_MODE_6,ЗБЕРИ <AMOUNT> ЕНЕРГЕТИКІВ
TID_QUEST_DESC_7_MODE_9,ЗБЕРИ <AMOUNT> ЕНЕРГЕТИКІВ ПОКИ ДВА ГРАВЦІ АКТИВНІ
TID_QUEST_DESC_7_MODE_17,СТІЙ У ЗОНАХ <AMOUNT> СЕКУНД
TID_QUEST_DESC_7_MODE_20,НЕ ВМИРАЙ <AMOUNT> РАУНДІВ
TID_QUEST_DESC_1_LEVELED,ПРОЙТИ РІВЕНЬ
TID_QUEST_DESC_1_BIG_GAME,ВИГРАЙ <AMOUNT> БИТВ
TID_QUEST_DESC_1_BIG_GAME_SINGLE,ВИГРАЙ <AMOUNT> БИТВ
TID_QUEST_HERO_CONDITION,\nЗ <HERO>
TID_QUEST_MODE_CONDITION,\nВ <MODE>
TID_QUEST_PLAYAGAIN_CONDITION,\nЗ НАПАРНИКАМИ
TID_QUEST_NEW,НОВИЙ
TID_QUEST_PREMIUM,ЕКСКЛЮЗИВ БРАВЛ ПАСА
TID_RANK_POPUP_QUESTS,КВЕСТИ
TID_RANK_POPUP_CLUB_FEATURE,КЛУБИ
TID_BRAWL_PASS_POPUP_TITLE,БРАВЛ ПАСС
TID_BRAWL_PASS_POPUP_INFO,СЕЗОН <SEASON>
